Name,Tradition,Rank,Focus,Target,Range,Properties,Effect,Heightened
<strong>Blood Shards</strong>,Death,1,2,vs. Dodge,Medium,,"You conjure razor-sharp crystallized blood shards and hurl them at your target, piercing their flesh and drawing life force back to you.<br/><strong>Weak.</strong> Deal +3 necrotic damage and regain 2 HP.<br/><strong>Strong.</strong> Deal +6 necrotic damage and regain 4 HP.<br/><strong>Critical.</strong> Deal +9 necrotic damage and regain 6 HP.",<strong>(Rank 2)</strong> Deal +5/+10/+15 necrotic damage and regain 3/6/9 HP instead.<br/><br/><strong>(Rank 3)</strong> Deal +7/+14/+21 necrotic damage and regain 4/8/12 HP instead.
<strong>Curse of Death</strong>,Death,1,2,vs. Resist,Short,singular,"You curse a creature with the magical power of death, withering their mortal body.<br/>On a success, the creature suffers the following effects:<br/>- Their max. HP are reduced by 5.<br/>- They can't regain HP. <br/>- They suffer +1 bane on Fortitude rolls.<br/>This curse lasts for a long duration.<br/>",<strong>(Rank 2)</strong> The target suffers a weakness to either necrotic or poison damage (choose one) for the spell‘s duration.<br/><br/><strong>(Rank 3)</strong> The target suffers a weakness to both necrotic and poison damage for the spell‘s duration.
<strong>Necrotic Weapon</strong>,Death,1,2,Medium (8),Touch,"enchant (weapon), singular","Imbue a weapon with the power of death. If the target is dual-wielding, you can instead target both their held weapons.<br/>On a success, the weapon deals +2 necrotic damage. On a strong or critical hit, the attack’s target also suffers 2 lasting necrotic damage for a short duration. Each creature can suffer the condition from this spell only once per scene. If you target your own weapon, you can make a weapon attack with it as part of casting this spell.<br/>This spell lasts for a medium duration.<br/>","<strong>(Rank 2)</strong> The weapon deals +4 necrotic damage instead. On a strong or critical hit, inflict 4 lasting necrotic damage instead.<br/><br/><strong>(Rank 3) </strong>The weapon deals +6 necrotic damage instead. On a strong or critical hit, inflict 6 lasting necrotic damage instead."
<strong>Rotting Grasp</strong>,Death,1,2,vs. Parry,Melee,,"Your touch carries the power of decay, causing flesh to wither and rot where you grasp your target.<br/><strong>Weak.</strong> Deal +4 necrotic damage and the target is briefly poisoned.<br/><strong>Strong.</strong> Deal +8 necrotic damage and the target is briefly poisoned and staggered.<br/><strong>Critical.</strong> Deal +12 necrotic damage and the target is poisoned for a short duration. While poisoned by this effect, they are also staggered. They can roll Strength + Fortitude vs. your Resist at the end of their turns to end the effect early.",<strong>(Rank 2)</strong> Deal +6/+12/+18 necrotic damage instead.<br/><br/><strong>(Rank 3)</strong> Deal +8/+16/+24 necrotic damage instead.
<strong>Circle of Death</strong>,Death,2,4,Hard (10),Medium,concentrate,"You draw a mystical circle filled with symbols of mortality, creating a zone where death is inevitable. On a success, you create the circle in close range of the target location. While the circle remains, any creature that starts their turn within it takes +4 necrotic damage (ignoring AV) and can’t regain HP. Any undead creature takes +4 radiant damage (ignoring AV) instead, as their souls long to return to the grave.<br/>The circle lasts for a short duration.<br/>",<strong>(Rank 3)</strong> Each creature takes +6 necrotic or radiant damage (ignoring AV) instead.
<strong>Cloud of Sickness</strong>,Death,2,4,vs. Resist,Medium,,"You summon a cloud of necrotic energy, sickening creatures within it. The cloud extends in a close area around the target location and targets all living creatures within it.<br/><strong>Weak.</strong> Deal +3 necrotic damage to each target.<br/><strong>Strong.</strong> Deal +6 necrotic damage to each target.<br/><strong>Critical.</strong> Deal +9 necrotic damage to each target.<br/>Any creature is also poisoned while inside the cloud’s area.<br/>The cloud lasts for a short duration. It can also be expelled early by any effect causing strong winds in the same area of influence.<br/>",<strong>(Rank 2)</strong> Deal +5/+10/+15 necrotic damage to each target instead.<br/><br/><strong>(Rank 3)</strong> Deal +7/+14/+21 necrotic damage to each target instead.
<strong>Beast Form</strong>,Nature,1,2,Medium (8),Self,enchant (body),"You shape shift into the form of a land-based animal. You can change into any animal form you encountered before. For this, reference the Tier 1 or lower Companion Statistics and pick any valid Animal Trait from the Animal Companions section.<br/>Apply the given statistics in the following way:<br/>- Pick any Size valid for the beast form’s Tier.<br/>- You gain half of the HP your beast form would have as an Animal Companion as temporary HP (you keep your own current and max. HP).<br/>- Apply the beast form’s AV bonus as an armor bonus.<br/>- Replace your Strength and Agility with that of your beast form if they are higher. Your Spirit and Mind aren’t changed.<br/>- You keep your own skill ranks and don’t use those of the beast form.<br/>- Apply the beast form’s weapon damage to any attacks made with natural weapons. If you have any bonuses to the damage of these attacks, you can apply them normally.<br/>- You gain the amount of base Movement per turn of your beast form, unless your normal Movement is higher.<br/>- You can use any abilities your beast form’s animal traits provide.<br/><br/>You can’t cast spells while in beast form, except for re-casting this spell to extend it‘s duration without interruption. You can still speak and understand any languages you would normally while in your beast form. Your beast form lasts for a medium duration, until you end it willingly, or until you fall unconscious.<br/>",<strong>(Rank 2)</strong> You can choose from the Companion Statistics up to Tier 2.<br/><br/><strong>(Rank 3)</strong> You can choose from the Companion Statistics up to Tier 3.
<strong>Blessing of Nature</strong>,Nature,1,2,Medium (8),Touch,singular,"You bless a creature with the magical power of nature, whereby plants and animals act benevolently towards them.<br/>On a success, the creature gains the following effects:<br/>- You can move through difficult terrain without penalty.<br/>- You gain +1 boon on Athletics and Survival rolls.<br/>This spell lasts for a long duration.<br/>","<strong>(Rank 2)</strong> The target gains resistance to acid and poison damage for the spell‘s duration.<br/><br/><strong>(Rank 3)</strong> The target gains resistance to acid, frost, lightning, and poison damage for the spell‘s duration."
<strong>Mesh of Vines</strong>,Nature,1,2,Medium (8),Medium,singular,"Instantly sprout a mesh of spiked vines, covering the target location. On a success, spiked vines fill an area close to the target location. Target each creature in the area and use your roll’s result vs. their Dodge.<br/><strong>Weak.</strong> Deal +0 damage against each target.<br/><strong>Strong. </strong>Deal +2 damage against each target and they are grappled by the vines.<br/><strong>Critical.</strong> Deal +2 damage against each target and they are grappled and restrained by the vines.<br/>The area is also considered difficult terrain. The vines last for a short duration.<br/>",<strong>(Rank 2)</strong> The vines deal +2/+4/+6 damage against each target instead.<br/><br/><strong>(Rank 3) </strong>The vines deal +4/+8/+12 damage against each target instead.
<strong>Rock Throw</strong>,Nature,1,2,vs. Dodge,Medium,,"Magically animate a large stone and throw it against your target in range.<br/><strong>Weak.</strong> Deal +4 crush damage.<br/><strong>Strong.</strong> Deal +8 crush damage and the target is pushed close.<br/><strong>Critical.</strong> Deal +12 crush damage, the target is pushed close and falls prone.",<strong>(Rank 2)</strong> Deal +6/+12/+18 crush damage instead.<br/><br/><strong>(Rank 3)</strong> Deal +8/+16/+21 crush damage instead.
<strong>Venomous Weapon</strong>,Nature,1,2,Medium (8),Touch,"enchant (weapon), singular","Imbue a weapon with the power of a serpent‘s fangs. If the target is dual-wielding, you can instead target both their held weapons.<br/>On a success, the weapon deals +2 poison damage. On a strong or critical hit, the attack‘s target is briefly poisoned. Each creature can suffer the condition from this spell only once per scene. If you target your own weapon, you can make a weapon attack with it as part of casting this spell.<br/>This spell lasts for a medium duration.<br/>",<strong>(Rank 2)</strong> The weapon deals +4 poison damage instead.<br/><br/><strong>(Rank 3) </strong>The weapon deals +6 poison damage instead.
<strong>Wild Companion</strong>,Nature,1,2,Medium (8),Touch,ritual (hours),"You can’t cast this spell if you haven’t learned the “Animal Companion” talent.<br/>You set up a ritual to summon a spiritual beast of the land. As part of casting this spell, you must also spend 100 coins in incense and other sacred ingredients (they are spend even on a failure). Follow the normal rules, described in the “Animal Companion” talent for choosing a form for your animal companion (you can still only control as many animal companions, as you are allowed by the talent).<br/>On a success, you summon a spiritual being in your chosen animal form. Apply the following traits to it:<br/>- It’s creature type becomes “spirit (primal)”<br/>- +1d Spirit, +1d Mind<br/>- +1 Resist<br/><br/>You also have a psychic connection to your companion, as long as the two of you are on the same sphere of existence. This connection manifests itself as an intuitive sharing of emotions. You can use this connection to tell your companion what to do and where to go nonverbally. You can also spend your turn meditating to fully experience all senses of your companion. While meditating this way, you are considered unconscious and are unaware of your own body‘s surroundings.<br/>Any creature capable of sensing magical auras will notice the primal nature of your companion. The companion remains until killed, but can be re-summoned with another ritual. You can choose the same or a new form for your companion each time you cast this spell.<br/>","<strong>(Rank 2) </strong>As part of casting this spell, you must spend 200 coins instead. Also apply the following traits to your companion:<br/>- It can cast any rank 0 or 1 spells you know. It casts them with it’s Spirit + your Nature. Instead of spending Focus, it can only cast a number of rank 1 spells per day equal to your Nature.<br/><br/><strong>(Rank 3) </strong>As part of casting this spell, you must spend 500 coins instead. Also apply the following traits to your companion:<br/>- It can cast any rank 0, 1, or 2 spells you know (rank 1 spells are heightened to rank 2). It casts them with it’s Spirit + your Nature. Instead of spending Focus, it can only cast a combined number of rank 1 or 2 spells per day equal to your Nature.<br/>"
<strong>Heat Metal</strong>,Nature,2,4,vs. Resist,Short,concentrate,"You let a metallic object rapidly increase in temperature, harming anyone touching it.<br/>You must be not wearing any armor or weapon primarily made from a metal to cast this spell. Choose any metallic object or creature of up to medium Size.<br/>On a success, the target becomes burning hot. Any creature holding or wearing the object suffers +2 fire damage (ignoring AV) at the start of each turn they continue to do so.<br/>If the target is a weapon, it imposes +1 bane on attacks with it.<br/>If the target is a piece of armor or a helmet, it‘s AV bonus is halved.<br/>This spell lasts for a short duration.<br/>",<strong>(Rank 2)</strong> Choose one:<br/>- You can also target objects with up to large Size.<br/>- The object inflicts +4 fire damage (ignoring AV) each turn instead.<br/><br/><strong>(Rank 3)</strong> Choose one:<br/>- You can also target objects with up to huge Size.<br/>- The object inflicts +6 fire damage (ignoring AV) each turn instead.<br/>
<strong>Law of the Strongest</strong>,Nature,2,4,Hard (10),Medium,"enchant (body), singular","You fill a creature‘s body with empowering nature magic. The target has to be a creature of medium or smaller Size.<br/>On a success, the target‘s body grows one Size larger along with all of their worn equipment and held items (as long as they stay in contact with their body). While enlarged by this spell, they gain the following effects:<br/>- Gain 5 temporary HP.<br/>- Gain +1 boon on Strength rolls.<br/>- You gain +1 Parry and lose -1 Dodge.<br/>- You gain +1 AV.<br/>- You deal +2 damage with attacks based on Strength.<br/>This spell lasts for a short duration or until the target falls unconscious.<br/>",<strong>(Rank 3)</strong> The target gains the following effects instead:<br/>- Gain 10 temporary HP.<br/>- Gain +1 boon on Strength rolls.<br/>- You gain +2 Parry and lose -2 Dodge.<br/>- You gain +2 AV.<br/>- You deal +4 damage with attacks based on Strength.<br/>
<strong>Living Plants</strong>,Nature,2,4,Hard (10),Medium,concentrate,"You manipulate nearby plants to grow rapidly and attack your enemies or form structures. Choose any location in range. On a success, plants grow and animate under your control, filling an area close to the target location.<br/>You can command the plants to perform one of the following abilities during each of your turns:<br/><br/><strong>Attack.</strong> Target any number of creatures in the area and use your roll's result vs. their Dodge. Deal +2/+4/+6 damage against each target.<br/><br/><strong>Restrain. </strong>Target any number of creatures in the area and use your roll's result vs. their Dodge. On a success, each target is grappled. On a strong or critical success, each target is grappled and restrained.<br/>If you choose any other ability during one of your turns, this ability ends.<br/><br/><strong>Shape. </strong>Form the plants into a simple structure (such as a shelter, bridge, or barrier). The structure is solid and provides cover. If you end the spell while the plants are shaped, the shape remains stable for a long duration, after which the plants wither and decay.<br/>The plants last for a medium duration or until you dismiss them.<br/>",<strong>(Rank 3) </strong>Choose one:<br/>- The plants fill in short range of the target location.<br/>- The plants deal +4/+8/+12 damage with attacks instead.<br/>
<strong>Melt Ground</strong>,Nature,2,4,Hard (10),Medium,concentrate,"You cause the ground in the target area to become soft and muddy, creating a natural trap. On a success, the ground in an area close to the target location becomes muddy and creatures sink slightly into it.<br/>The muddy area is difficult terrain. Also, when any creature attempts to move though the muddy area for the first time during their turn, they have to first succeed on a Strength + Athletics test vs. this spell’s target Difficulty. If they fail, their Movement becomes 0 for the rest of the turn.<br/>This spell lasts for a medium duration.<br/>",<strong>(Rank 3) </strong>The affected area extends to medium range from the target location instead.
<strong>Rock Skin</strong>,Nature,2,4,Hard (10),Medium,"enchant (body), singular","You create a protective shell of hardened rock plates around a creature within range. On a success, the creature gains the following effects:<br/>- The rock plates absorbs any non-psychic damage inflicted on you. When the rock plates have absorbed a total of 20 HP, they break and the spell ends.<br/>- Your unarmed attacks deal +2 damage.<br/>- You gain +1 Parry and lose -1 Dodge.<br/>- You can’t use more than 1 Movement per turn.<br/>","<strong>(Rank 3)</strong> The target gains the following effects instead:<br/>- The rock plates absorbs any non-psychic damage inflicted on you. When the rock plates have absorbed a total of 30 HP, they break and the spell ends.<br/>- Your unarmed attacks deal +4 damage.<br/>- You gain +1 Parry and lose -1 Dodge.<br/>- You can’t use more than 1 Movement per turn.<br/>"
<strong>Sudden Growth</strong>,Nature,2,4,Hard (10),Medium,,"You dramatically accelerate the growth of plant life in the target area.<br/>On a success, choose one of the following effects:<br/><br/><strong>Barrier.</strong> Create a wall of tough plants which covers a close distance in width and height. The barrier has 20 HP, 2 AV (light), 8 Defense, and provides cover. Climbing the barrier requires a Strength + Athletics roll.<br/><br/><strong>Platform.</strong> Create a stable platform of intertwined branches covering up to a close area that can support creature with medium Size or smaller. The platform can grow up to a short distance above ground level. Any creatures standing on the space where the branches grow into the air are safely lifted up with it. For damaging the platform, use the same statistics as for the Barrier option.<br/><br/><strong>Harvest.</strong> Magically fertilize soil within medium range of the target area. Any fruit, vegetable, or other crop on that soil will be immune against disease and grow twice as fast.<br/>When you choose Barrier or Platform, the plants remain for a short duration. If you choose Harvest, the effect remains until the plants are fully grown.<br/>",<strong>(Rank 3)</strong> Apply these effects for each option:<br/><br/><strong>Barrier. </strong>The wall can cover up to a short distance in width and height instead. It also has 30 HP and 4 AV instead.<br/><br/><strong>Platform. </strong>The platform can grow up to a medium distance above ground level instead.<br/><br/><strong>Harvest.</strong> Fertilize soil within long range of the target area instead.
<strong>Thorn Barrage</strong>,Nature,2,4,vs. Dodge,Medium,blast (line),You launch a volley of magically-created thorns that tear through multiple targets in a line.<br/>Target all creatures in a straight line from you up to a target point within range.<br/><strong>Weak.</strong> Deal +4 damage to each target.<br/><strong>Strong.</strong> Deal +8 damage to each target and they are bleeding (2).<br/><strong>Critical.</strong> Deal +12 damage to each target and they are bleeding (4).,<strong>(Rank 3)</strong> Choose one:<br/>- Deal +6/+12/+18 damage to each target and inflict bleeding (-/4/6) instead.<br/>- Increase the spell‘s range to long.<br/>
<strong>Toxic Mist</strong>,Nature,2,4,vs. Dodge,Short,blast (cone),You create a cone of toxic fog that spreads from your position. Target all creatures within the spell’s area.<br/><strong>Weak.</strong> Deal +4 poison damage (ignoring 1/2 AV) to each target.<br/><strong>Strong.</strong> Deal +8 poison damage (ignoring 1/2 AV) to each target and they are poisoned for a short duration.<br/><strong>Critical.</strong> Deal +12 poison damage (ignoring 1/2 AV) to each target and they are poisoned for a short duration.,<strong>(Rank 3)</strong> Choose one:<br/>- Deal +6/+12/+18 poison damage (ignoring 1/2 AV) to each target instead.<br/>- Increase the spell’s range to medium.<br/>
<strong>Water Prison</strong>,Nature,2,4,vs. Dodge,Short,concentrate,"You conjure a sphere of water that engulfs and traps a target of up to medium Size, causing them to begin drowning.<br/>On a success, the target is grappled and restrained by the sphere of water and suffocating until they escape.<br/>This spell lasts for a short duration.<br/>",<strong>(Rank 3) </strong>You can target a creature of up to large Size instead.
<strong>Bursting Crackle</strong>,Tempest,1,2,vs. Resist,Medium,,"You gather an electric charge at a single point within range and release it with a powerful blast, creating loud thunder. Target all creatures in melee range of the target location.<br/><strong>Weak.</strong> Deal +2 blast damage (ignoring 1/2 AV) against each target.<br/><strong>Strong.</strong> Deal +4 blast damage (ignoring 1/2 AV) against each target and they are briefly dazed and deafened.<br/><strong>Critical.</strong> Deal +6 blast damage (ignoring 1/2 AV) against each target and they are briefly dazed and deafened.",<strong>(Rank 2)</strong> Choose one:<br/>- Deal +4/+8/+12 blast damage to each target instead.<br/>- Target all creatures in close range of the target location instead.<br/><br/><strong>(Rank 3)</strong> Choose one:<br/>- Deal +6/+12/+18 blast damage to each target instead.<br/>- Target all creatures in short range of the target location instead.<br/>
<strong>Curse of Tempest</strong>,Tempest,1,2,vs. Resist,Short,singular,"You curse a creature with the magical power of tempest, turning nature itself against them.<br/>On a success, the creature suffers the following effects:<br/>- While moving in natural environments, it is always considered difficult terrain for them.<br/>- They suffer +1 bane on Athletics and Survival rolls.<br/>This curse lasts for a long duration.<br/>","<strong>(Rank 2)</strong> The target suffers a weakness to blast, fire, or lightning damage (choose one) for the spell‘s duration.<br/><br/><strong>(Rank 3)</strong> The target suffers a weakness to blast, fire, and lightning damage for the spell‘s duration."
<strong>Earthen Tremor</strong>,Tempest,1,2,vs. Dodge,Short,blast (cone),"You send shockwaves through the earth, causing the ground to tremble violently. Target all creatures in the spell’s area.<br/><strong>Weak. </strong>Deal +2 damage to each target.<br/><strong>Strong. </strong>Deal +4 damage to each target and they are briefly staggered.<br/><strong>Critical. </strong>Deal +6 damage to each target and they are briefly staggered.",<strong>(Rank 2)</strong> Choose one:<br/>- Deal +4/+8/+12 damage to each target instead.<br/>- Increase the spell‘s range to medium.<br/><br/><strong>(Rank 3) </strong>Choose one:<br/>- Deal +6/+12/+18 damage to each target instead.<br/>- Increase the spell‘s range to long.<br/>
<strong>Electrified Weapon</strong>,Tempest,1,2,Medium (8),Touch,"enchant (weapon), singular","Imbue a weapon with the power of storms. If the target is dual-wielding, you can instead target both their held weapons.<br/>On a success, the weapon deals +2 lightning damage. On a strong or critical hit, the attack‘s target is briefly staggered. Each creature can suffer the condition from this spell only once per scene. If you target your own weapon, you can make a weapon attack with it as part of casting this spell.<br/>This spell lasts for a medium duration.<br/>",<strong>(Rank 2)</strong> The weapon deals +4 lightning damage instead.<br/><br/><strong>(Rank 3) </strong>The weapon deals +6 lightning damage instead.
<strong>Lightning Javelin</strong>,Tempest,1,2,vs. Dodge,Medium,,You conjure pure lightning in the form of a spear and hurl it against a creature.<br/><strong>Weak.</strong><em> </em>Deal +4 lightning damage. <br/><strong>Strong.</strong> Deal +8 lightning damage and the target is briefly staggered.<br/><strong>Critical.</strong> Deal +12 lightning damage and the target is briefly staggered.,<strong>(Rank 2)</strong> Deal +6/+12/+18 lightning damage instead.<br/><br/><strong>(Rank 3) </strong>Deal +8/+16/+24 lightning damage instead.
<strong>Storm Coat</strong>,Tempest,1,2,Medium (8),Short,"enchant (body), singular","You weave a protective coat of elemental energies around a creature.<br/>On a success, the creature gains the following effects:<br/>- You gain resistance against blast, frost, and lightning damage.<br/>- Whenever you are hit by a melee attack, the attacker takes +0 lightning damage (ignoring AV).<br/>",<strong>(Rank 2)</strong> The attacker takes +2 lightning damage (ignoring AV) instead.<br/><br/><strong>(Rank 3) </strong>The attacker takes +4 lightning damage (ignoring AV) instead.
