Name,Category,Weapons,Effect
Head Smack,Basic,"Brawl, Mace, Shield","On a hit with a crush melee weapon or shield, the target must roll Strength + Fortitude. If they wear a helmet, they gain +1 boon on the roll.Weak. If they fail, they are briefly confused. Strong. If they succeed, they are briefly confused. If they fail, they are confused for a short duration instead. They can re-roll their Mind + Fortitude test at the end of each of their turns to end the effect early.Critical. Same as a strong success, but the target’s roll is hard."
Knockout,Basic,"Brawl, Mace, Shield","On a hit with a crush melee weapon or shield, the target must roll Strength + Fortitude. If they wear heavy armor or a helmet, they gain +1 boon on the roll (or +2 boons when wearing both).Weak. If they fail, they are briefly dazed.Strong. If they succeed, they are briefly dazed. If they fail, they are briefly stunned instead.Critical. Same as a strong success, but the target’s roll is hard."
Pinning Shot,Basic,"Bow, Crossbow, Thrown",Weak. The target’s Movement briefly becomes 0.Strong. The target is briefly restrained.Critical. The target is restrained for a short duration. They can roll Strength + Athletics at the end of their turns to regain their Movement.
Power Shot,Basic,"Bow, Crossbow, Thrown",You suffer +1 bane on the attack with a ranged weapon.Weak. + 1/4 x Strength to damage.Strong. + 1/2 x Strength to damage.Critical. + Strength to damage.
Precise Shot,Basic,"Bow, Crossbow, Thrown",You suffer +1 bane on the attack with a ranged weapon.Weak. Ignore 1/2 AV (rounded up).Strong. Ignore 1/2 AV (rounded up) and add 1/4 x Agility to damage.Critical. Ignore 1/2 AV (rounded up) and add 1/2 x Agility to damage.
Precise Strike,Basic,"Blade, Brawl, Polearm",You suffer +1 bane on the attack with a pierce melee weapon.Weak. Ignore 1/2 AV (rounded up).Strong. Ignore 1/2 AV (rounded up) and add 1/4 x Agility to damage.Critical. Ignore 1/2 AV (rounded up) and add 1/2 x Agility to damage.
Quick Lunge,Basic,"Blade, Brawl, Polearm",Your attack with a pierce melee weapon targets the enemy’s Dodge instead of Parry. They can’t use a Quick Action in response to this attack.
Ram Down,Basic,"Brawl, Mace, Shield","This melee attack also counts as a Shove Action.Weak. The target is pushed close.Strong. The target is pushed close and falls prone.Critical. The target is pushed close, falls prone, and is briefly dazed.You may follow your target to where they are pushed without spending Movement."
Snare,Basic,"Brawl, Thrown","You can use this Combat Art when attempting to grapple a target.Weak. The target is also restrained while grappled by your weapon.Strong. Same as a weak success and the target also falls prone.Critical. Same as a weak success, the target also falls prone and is briefly dazed."
Splinter,Basic,"Axe, Mace","This melee attack deals no damage to the target. Instead, choose one item the target holds that your weapon would be capable of damaging (wood or leather for axes, stone or metal for maces).Weak. The target rolls a Durability check for the item. On a failure, the item gets damaged.Strong. The target rolls the check for the item twice and must use the worst result. On a failure, the item gets damaged. If both dice would fail, the item is destroyed instead.Critical. The target rolls a Durability check for the item twice and must use the worst result. On a success, the item still gets damaged. On a failure, the item is destroyed instead."
Terrifying Strike,Basic,"Axe, Blade, Mace, Polearm","This melee attack also counts as a Demoralize Action.Weak. The target is briefly frightened of you.Strong. The target is frightened of you for a short duration. They can roll Spirit + Fortitude at the end of each of their turns to end the effect early.Critical. Same as a strong success, but the target’s roll is hard."
Volley,Basic,"Bow, Crossbow, Thrown","Your attack with a non-heavy ranged weapon hits up to 2 additional creatures in your weapon's reach. On a hit, subtract your weapon damage once from the total damage you deal against each target."
Dashing Strike,Supreme,"Axe, Blade, Brawl, Mace","You can’t use this Combat Art while wearing heavy armor.Choose any point within short range you can move to. You can target up to three creatures along a line up to that point for this attack.You move at supernatural speed from your current position to your chosen point (this Movement doesn‘t provoke Opportunity Attacks), making an attack against each target along the way. Roll your attack once against all targets. On a hit, subtract your weapon damage once from the total damage you deal against each target."
Death from Above,Supreme,Polearm,"You leap into the air with your polearm ready to strike toward your enemy. Choose the location of a creature within short range that you can see. You leap to that point (this doesn't provoke Opportunity Attacks), landing with tremendous force. The attack is considered to be from close range. On a hit, add your weapon damage an additional time to the total damage and the target is knocked prone if it isn’t of larger Size than you. After the attack, you can step to a location close to your target without provoking Opportunity Attacks."
Devastating Piercer,Supreme,Crossbow,"Your crossbow bolt absorbs your soul's power, allowing it to pierce through multiple creatures in a single shot. Choose any number of creatures in a straight line up to your weapon's normal range. Compare the attack roll against each target in sequence from nearest to furthest.Against the first target the bolt hits, add your weapon damage an additional time to the total damage. You can hit up to five targets in a row, decreasing the damage each time another target is hit once by your weapon damage (the first takes +1 x weapon damage, the second +0 x weapon damage, the third -1 x weapon damage, the fourth -2 x weapon damage, and the fifth -3 x weapon damage).If you miss a target, the bolt continues unaffected to the next target in line. Missed targets don't count toward the damage reduction."
Earth-shattering Strike,Supreme,Mace,"You break the very ground around you with superhuman strength. Instead of attacking a creature, roll vs. Dodge of every creature within your close range. On a hit, subtract your weapon damage once from the total damage you deal against each target.If the ground below you is no more durable then stone, it also cracks. On a stone or earth ground, the affected area now is difficult terrain. On wood or other less stable ground, such as a building‘s floor, the ground is instead totally destroyed. If the destroyed ground was elevated over an open space, you and all creatures in range fall through the destroyed floor."
Hundred Palm Strike,Supreme,Brawl,"Your fists move at impossible speeds, delivering countless blows in the blink of an eye.Weak. Treat this attack as two separate hits that are weak hits.Strong. Treat this attack as three separate hits that are weak hits.Critical. Treat this attack as four separate hits that are weak hits."
Perfect Shot,Supreme,Bow,"You take a moment to perfectly aim your shot, reaching a state of absolute focus. You ignore all penalties that would inflict banes on your attack (for example from range or cover). On a hit, ignore the AV of the target and they are briefly stunned."
Phantom Cut,Supreme,Blade,"Your blade swings with your soul’s power, projecting a arc or beam of pure force against a creature.You can target any creature within close range for this attack. On a hit, add your weapon damage an additional time to the total damage and the target is briefly staggered."
Projectile Storm,Supreme,Thrown,"You channel your energy into your throwing technique, creating a whirlwind of deadly projectiles. Using supernatural speed, you throw multiple weapons simultaneously in a devastating pattern. Choose a point within your weapon’s range. Roll your attack vs. Dodge for all creatures within close range of the target location. On a hit, subtract your weapon damage once from the total damage you deal against each target."
Rip and Tear,Supreme,Axe,"You strike with immense force, ripping though your target.On a hit, apply one of the following effects based on what the target is wearing.No Armor. Add your weapon damage an additional time to the total damage and the target is briefly staggered.Armor or Shield. This only works against an undamaged item. Otherwise apply the effect against no armor above. Either the target’s armor or shield (your choice) is automatically damaged. In case of natural armor, this halves their total AV instead. The target is also briefly staggered."
Shield Avalanche,Supreme,Shield,"You channel tremendous force into your shield and slam it forward with devastating effect. This attack targets all creatures in a cone close to you. On a hit, subtract your weapon damage once from the total damage you deal against each target and each target is pushed close and knocked prone if it isn’t of larger Size than you. Also, you briefly gain +2 AV."
Supreme Barrage,Supreme,"Bow, Thrown",You can only learn this Combat Art if you already know Barrage. This Combat Art replaces Barrage.You can roll two additional attacks with a non-heavy ranged weapon. You suffer +1 bane and +2 banes on the first and second additional attack respectively.
Supreme Cleave,Supreme,"Axe, Blade, Mace, Polearm","You can only learn this Combat Art if you already know Cleave. This Combat Art replaces Cleave.Your attack with a two-handed melee weapon hits up to 4 additional creatures in your weapon's reach or one distance further (melee to close, close to short). On a hit, subtract your weapon damage once from the total damage you deal against each target."
Supreme Disarm,Supreme,"Axe, Blade, Brawl, Mace, Polearm","You can only learn this Combat Art if you already know Disarm. This Combat Art replaces Disarm.After this attack, use the Disarm action against the same target with +2 boons. On a success, you can either throw the disarmed item up to short range or immediately grab it yourself if you have a free hand. Also, the target is briefly dazed by your maneuver."
Supreme Feint,Supreme,"Blade, Brawl, Polearm","You can only learn this Combat Art if you already know Feint. This Combat Art replaces Feint.You execute a masterful feint that completely throws off your opponent's defenses. If you don't move during your turn, you gain +1 boon on the attack with a non-heavy melee weapon. On a hit, you also deal +4 damage and the target is marked (4)."
