Name,Skill Requirement,Description
Stand your Ground,Athletics,"(Rank 1) When you would be knocked prone or pushed by a creature, you can use your Quick Action to ignore being knocked prone or reduce the distance you are pushed by one step (if you are pushed close, instead you aren‘t pushed at all).(Rank 2) When an enemy in your melee range attacks any creature other than you, you can use a Quick Action for an Opportunity Attack against them.(Rank 3) When you use your Stand your Ground ability to ignore being knocked prone or reducing the distance your are being pushed, you can choose to also use the Shove or Trip Action for free against the source."
Artisan,Crafting,"(Rank 1) When you take Crafting activity during downtime, you can choose to re-roll the test once per scene.(Rank 2) When you take Crafting activity during downtime and you check 1 or more successes, you can check +1 success.(Rank 3) When you take Crafting activity during downtime and you check 1 or more successes, you can check +2 successes."
Efficient Worker,Crafting,"(Rank 1) When you have to roll a Supply check for materials, roll twice and take the higher result.(Rank 2) When you use the Crafting downtime activity and you finish crafting an item, regain 1/10 of the item‘s cost in coin.(Rank 3) When you use the Crafting downtime activity, you always check at least 1 success, regardless of your roll."
Maintenance,Crafting,"(Rank 1) You can also use your repair kit to quickly repair one item during a short break. When doing so, you automatically lose one unit of materials instead of rolling a Supply check (even on a failure).(Rank 2) When you roll Agility/Mind + Crafting to repair an item, you can re-roll the test once per day.(Rank 3) Due to your supreme equipment maintenance, when you or one of your allies fails on a Durability check for an item, they can choose to succeed instead. You and each of your allies can benefit from this ability once per day. Allies have to have been with you during the last night‘s rest to qualify for this ability."
Master Artisan,Crafting,Requires Artisan Rank 3
Peak Performance,Crafting,"(Rank 1) You temporarily utilize the full potential of a weapon or unit of ammo. You must have a crafting kit on you to use this ability. During a night’s rest, choose one weapon or unit of ammo. Apply one of the following effects based on the type of item it is:- Ammo: It deals +2 damage.- Weapon: Increase it’s weapon damage by 1 (enhancement bonus).These effects last for a long duration or until your next rest.(Rank 2) You can use Peak Performance on a number of items equal to your Crafting during the same rest.(Rank 3) When you use Peak Performance on an item, you can also target armor, shields, and helmets. Apply one of the following effects:- Armor, Shield, or Helmet: It grants +1 AV (enhancement bonus).- Ammo: It deals +4 damage.- Weapon: Increase it’s weapon damage by 2 (enhancement bonus)."
Quick Construction,Crafting,"(Rank 1) You are able to quickly improvise the construction of an item using what materials you have on hand. You must have a set of relevant tools on you to use this ability. During an exploration turn (one hour), choose any type of medium or smaller item of Quality 1 or 2 (no alchemical items, no armor). Roll Strength + Crafting and make a number of Supply checks for materials based on the item‘s size (one for small, two for medium). You have to have enough units of materials of the appropriate Quality for the amount of Supply checks you have to make (one unit for small items, at least d4 units for medium items).On a success, you create a quick-and-dirty version of that item. It is fragile, unsellable, has d4 Durability, and is automatically destroyed after a long duration.(Rank 2) When using Quick Construction, you can also create large items, such as a cart, a row of palisades, or a very long climbing rope. When doing so, roll vs. hard Difficulty (10) and make three Supply checks for materials. You also need to have at least d6 units of materials for large items.(Rank 3) When using Quick Construction, you can also create quick-and-dirty versions of Quality 3 items with materials of high-enough Quality. This includes all sorts of mechanical contraptions, such as a ballista, water wheel, or a simple crane."
Commander,Education,"(Rank 1) During an ally’s turn within medium distance that can see and hear you, you can use your Quick Action to guide them strategically and grant them one of the following effects:- +1 Movement this turn.- +1 boon on the next roll.You can’t target yourself with this ability.(Rank 2) When you target an ally with your Commander ability, they can also choose one of the following effects instead:- Add your Education to the damage of one attack.- Regain 2 x your Education as HP.(Rank 3) When you target an ally with your Commander ability, they can choose two of the effects instead, but not twice the same."
Diplomat,Education,"(Rank 1) When you roll Education for behaviours, values, taboos, or etiquette of another culture or group of intelligent creatures, you can re-roll the test once per scene.(Rank 2) You are able to utilize your knowledge about the values and taboos of a culture or other group of intelligent creatures to gain an advantage when interacting with it’s members. You gain the following abilities:- During a social situation with members of that group, you can roll Spirit/Mind + Education vs. Resist to gain insights into their culture. On a success, you gain +1 boon on any further rolls to socially interact with them for the rest of the scene. On a failure, you suffer +1 bane for the rest of the scene instead from your wrong cultural assumptions.- During combat, you can use the Demoralize or Distract Action by rolling Spirit/Mind + Education. When you do so, you can target all intelligent creatures of the same culture or group at the same time.(Rank 3) When you roll Education for behaviours, values, taboos, or etiquette of another culture or group of intelligent creatures, you gain +1 boon on the roll."
Eloquent Talker,Education,"(Rank 1) You persuade with logical arguments and technical terms during conversation. When you would have to roll Influence in a social situation with another creature speaking the same language as you, you can use Education instead. This only works if your target speaks the same language as you.(Rank 2) When you roll Education during a social situation to persuade, deceive, or otherwise influence another creature speaking the same language as you, you can choose to re-roll the test once per scene.(Rank 3) You can roll Mind + Education vs. Resist during a social situation against a non-hostile creature speaking the same language as you. On a success, the target is charmed by you for the rest of the scene and considers you a well-informed and trustworthy person. If they are still charmed by the end of the scene, they will keep their good opinion of you for the time being."
General Education,Education,"(Rank 1) When you roll for any expert skill you haven’t learned using Mind, you don’t suffer +1 bane for it from it being an untrained skill for you.(Rank 2) When you roll for any expert skill using Mind, you can choose to add your Education instead of the other expert skill once per scene.(Rank 3) When you roll Mind + Education, you gain +1 boon on the roll."
Linguist,Education,"(Rank 1) You gain the following abilities:- You learn one new common language.- You are able to communicate simple ideas with other intelligent creatures you don’t share a language with by rolling Mind + Education. The GM decides on the Difficulty of your communication attempt.(Rank 2) You gain the following abilities:- You learn one new common or exotic language.- You are able to decipher the meaning of any written symbols, even if you don’t know the language, by rolling Mind + Education as an Exploration activity. The GM decides on the Difficulty of your deciphering attempt and how literally you can translate it. You can’t use this ability to decipher symbols with no relation whatsoever to any common or exotic languages, such as symbols with otherworldly origin.(Rank 3) You gain the following abilities:- You learn one new common or exotic language.- When you roll Education for understanding or communicating while not knowing the language written or spoken, you gain +1 boon on the roll."
Tactician,Education,"(Rank 1) During a delving turn (some minutes), you can scheme a plan about the enemies you intend to fight or the location where your planned combat scene will take place. Once that scene begins, roll Mind + Education vs. the highest Resist among your enemies.Weak. You and your allies can choose to re-roll your Initiative tests.Strong. Same as a weak success and each of you gains +1 boon on the first roll during that scene.Critical. Same as a strong success and the first roll any enemy makes against any of you suffers +1 bane.(Rank 2) When you roll Mind + Education at the beginning of a combat scene for your Tactician ability, you gain +1 boon on the roll.(Rank 3) When you roll Mind + Education at the beginning of a combat scene for your Tactician ability, each of you and your allies can also use one of the following abilities once during that scene on their own turn (allies use your Education for these abilities):- Add your Education to the damage of one attack.- Regain 2 x your Education as HP."
Art of Fighting,Fighting,"(Rank 1) You learn two more Combat Arts for any melee weapons.(Rank 2) You learn two more Combat Arts for any melee weapons.(Rank 3) You gain the following abilities:- Whenever you can learn new Combat Arts for any melee weapons, you can now choose Supreme Combat Arts instead. - You learn two more Combat Arts or Supreme Combat Arts for any melee weapons.(Rank 4) You learn two more Combat Arts or Supreme Combat Arts for any melee weapons."
Axe Mastery,Fighting,"(Rank 1) On a hit with an axe, you can use your Quick Action to use the Disarm Action against the target immediately after the attack.(Rank 2) On a strong or critical hit with an axe against a target in light or no armor, inflict bleeding equal to your weapon damage for a short duration.(Rank 3) On a strong or critical hit with an axe, you can use your Quick Action to rend the target‘s armor or shield (your choice if both are present). The target rolls a Durability check for the item. On a failure, the item gets damaged or destroyed if already damaged."
Blade Mastery,Fighting,"(Rank 1) When attacking with a blade with either the pierce or slash property, you can choose to replace that property with the other one (slash instead of pierce or pierce instead of slash). When doing so, your weapon damage is reduced by 1 for this attack.(Rank 2) You gain the following abilities:- On a strong or critical hit with a blade with the pierce property, ignore 1/2 of your target‘s AV.- On a strong or critical hit with a blade with the slash property, your target suffers marked (2).(Rank 3) When attacking with a blade weapon, you can choose to gain +1 boon on the roll once per turn."
Defensive Dueling,Fighting,"(Rank 1) While you only wield a single non-heavy melee weapon and no shield, you gain +1 Parry (ability bonus).(Rank 2) While you only wield a single non-heavy melee weapon, you can use your Quick Action when being attacked against your Parry or Dodge to add your Fighting to that Defense against this attack only.(Rank 3) While you only wield a single non-heavy melee weapon and no shield and you successfully parry a melee attack against you, the attacker is briefly marked (equal to your Fighting). You can use this ability once between your turns."
Disciplined Fighter,Fighting,"(Rank 1) You can choose to re-roll any attack roll with a melee weapon once per scene.(Rank 2) You can use your Combat Arts for melee weapons two times per scene each, but each individual Combat Art not two turns in a row.(Rank 3) When you hit with a melee weapon, you can choose to use your Quick Action to make another attack against any target but suffer +1 bane on the roll."
Dual Wielder,Fighting,"(Rank 1) You suffer no banes for attacking with two light melee weapons.(Rank 2) You gain the following abilities:- While wielding two melee weapons, you gain +1 Parry (ability bonus).- You can also use any non-heavy melee weapons for dual-wielding, but suffer +1 bane on attacks with them if they aren’t light.(Rank 3) When attacking with two melee weapons, you can roll another attack with one of the weapons but you suffer +1 bane on it."
Heavy Weapon Mastery,Fighting,"(Rank 1) Using the Brutal Strike Combat Art with a heavy melee weapon doesn't impose +1 bane on your attack.(Rank 2) When you hit with a heavy melee weapon and the attack‘s damage reduces the target to 0 HP, you can make another attack against a different target. On a hit with this attack, subtract your weapon damage once from the total damage. You can use this ability once per turn.(Rank 3) When you skip all Movement this turn (before and after the attack), on a hit with a heavy melee weapon, you can add +1/2 Strength to the attacks damage once per turn."
Mace Mastery,Fighting,"(Rank 1) When you attack with a mace and don‘t blunder (even on a normal failure), you always at least deal damage equal to your weapon damage (ignoring AV) to the target. This applies even if the target‘s AV or a resistance would reduce the damage to a lower value. The only exception is the enemy being fully immune to your attack.(Rank 2) On a strong or critical hit with a mace, your target is briefly dazed.(Rank 3) On a hit with a mace, you can use your Quick Action to ignore the target‘s AV completely."
Martial Artist,Fighting,"(Rank 1) You gain the following abilities:- You don’t suffer +1 bane when attacking with improvised weapons.- You can use unarmed attacks, any non-heavy weapon, and improvised weapons as if it were agile.(Rank 2) You also gain the following abilities:- You ignore the fragile property of improvised weapons and can use Combat Arts with them as if they were brawling weapons.- When a ranged weapon attack misses you, you can use your Quick Action to make an Opportunity Attack against the attacker using the weapon or piece of ammunition they used in their attack against you. On a hit, treat this as a normal weapon attack with the attacker‘s weapon.(Rank 3) You also gain the following abilities:- When you attack with an improvised weapon, add your Fighting to the damage (ability bonus).- When you attack with an agile weapon, you can choose to suffer +1 bane on the roll. When you do so and hit, you hit an additional time with the same weapon against the same target (treat this extra hit as a weak success)."
Polearm Mastery,Fighting,"(Rank 1) While you wield a polearm and an enemy moves into your weapon’s reach, you can use a Quick Action for an Opportunity Attack against them.(Rank 2) While you wield a polearm, you also gain the following abilities:- You don‘t suffer +1 bane from attacking with a reach polearm in melee range.- When you are pushed, reduce the distance by one step (being pushed close instead doesn’t push you at all).(Rank 3) While you wield a polearm, you also gain the following abilities:- When you use the Charge Combat Art, add +1/2 Strength to the damage.- You are immune to being knocked prone or getting pushed by other creatures."
Protective Stance,Fighting,"(Rank 1) While you wield a shield and you use Protect Ally, the attacking enemy suffers +1 bane on their attack against you.(Rank 2) While you wield a shield, you can use Protect Ally once between your turns without using your Quick Action.(Rank 3) While you wield a shield and you use Protect Ally, you have resistance against the damage you take from the attack."
Pugilist,Fighting,"(Rank 1) You gain the following abilities:- Your unarmed attacks also count as brawling weapons that deal 2 weapon damage and have the crush and light properties.- While you wield no weapons other than brawling weapons, you gain +1 Parry (ability bonus).(Rank 2) You gain the following abilities:- Unarmed attacks deal 3 weapon damage instead. - When you hit an enemy with a brawling weapon, you can use Distract against them as a Quick Action. You gain +1 boon on this roll.(Rank 3) You gain the following abilities:- Unarmed attacks deal 4 weapon damage instead. - When you have hit an enemy with a brawling weapon, you regain your Fortitude as HP."
Riposte,Fighting,"(Rank 1) When an enemy misses their melee attack against your Parry and while you wield a non-heavy melee weapon, you can use a Quick Action to roll an Opportunity Attack against that enemy.(Rank 2) When you hit an enemy with an Opportunity Attack, their Movement is reduced to 0 for the rest of their turn.(Rank 3) When you use your Riposte ability to make an Opportunity Attack and you hit, the enemy is briefly dazed."
Shield Mastery,Fighting,"(Rank 1) When an enemy hits you with a melee attack while you wield a shield, you can use a Quick Action to reduce the SL of their attack by one step (min. failure). Immediately after the attack, roll a Durability check for your shield.(Rank 2) Reduce the rigid property of shields you wield by 1. When you make a melee attack with any weapon you are holding, you can choose to use your shield’s Combat Arts with that weapon attack.(Rank 3) When you use your Shield Mastery ability and have to make a Durability check of your shield, make the check twice and take the higher result."
Adrenaline Rush,Fortitude,something with taking damage to gain benefits.
Battle Rage,Fortitude,"(Rank 1) While you wear no heavy armor, you can enter a battle rage on your turn. While enraged, you gain the following effects:- You gain +1 boon on all non-attack Strength rolls.- You can spend 2 HP during a melee attack to add +2 to the damage.- You suffer +1 bane on all Mind rolls and can’t cast or concentrate on spells.When the scene ends or you fall unconscious, you automatically stop being enraged. When this happens, roll Strength + Fortitude. On a failure, you suffer one Fatigue.(Rank 2) While enraged, you also gain the following effects:- When entering a battle rage, gain 10 temporary HP.- You gain +1 Resist (ability bonus).- You can spend 2 HP during a melee attack to add +4 to the damage instead.(Rank 3) While enraged, you also gain the following effects:- When taking non-psychic damage, you can use your Quick Action to half that damage (after subtracting AV).- You can spend 2 HP during a melee attack to add +6 to the damage instead."
Body of Bronze,Fortitude,"(Rank 1) +2 HP. While you wear no armor, add 1 + your Fortitude to your AV (armor bonus).(Rank 2) +2 HP. While you wear no armor, you are immune to being dazed or stunned.(Rank 3) +2 HP. While you wear no armor, you have resistance against physical damage."
Drunken Technique,Fortitude,"(Rank 1) While intoxicated, you can enter a drunken style stance. While in this stance, you gain the following effects:- When an enemy misses you with a melee attack, you can spend a Quick Action to redirect the attack against another creature in melee range. The attack automatically hits as a weak success.- While you are prone, you can stand up on your turn without spending Movement.(Rank 2) While in this stance, you also gain the following effects:- You gain +1 Dodge (ability bonus).- You can Evade any melee attack from an enemy without using a Quick Action.(Rank 3) While in tthis stance, you also gain the following effects:- You gain +1 Resist (ability bonus).- You ignore the negative effects from being poisoned.- Whenever an enemy misses you with a melee attack, you can choose to inflict marked (equal to your Fortitude) on them. You can only use this ability once between your turns."
Explorer‘s Tenacity,Fortitude,"(Rank 1) Gain +2 HP. When you roll Fortitude during travel to withstand the elements, the climate, or other environmental hazards, you can re-roll the test once per scene.(Rank 2) Gain +2 HP. You gain the following abilities:- During a night’s rest or bad night, you lose double the normal amount of Fatigue.- When you suffer an Injury, you can choose to suffer one Fatigue instead once per day.(Rank 3) Gain +2 HP. You gain the following abilities:- During a bad night, you still can roll a hard Strength + Fortitude test to heal one previously treated Injury.- When you have to make a Supply check for rations during travel, roll twice and take the higher result. When you would automatically lose units of provisions, you can make a Supply check for it instead."
Hard to Kill,Fortitude,"(Rank 1) +2 HP. When you suffer a Wound or start dying and have to roll 1d4 in either situation, roll twice and choose any one of the results.(Rank 2) +2 HP. When you would suffer one Wound, you can choose to ignore it once per day.(Rank 3) +2 HP. When you use your Hard to Kill ability to ignore a Wound, you immediately regain your Strength as HP."
Heavy Armor Mastery,Fortitude,"(Rank 1) Reduce the rigid property of heavy armor you wear by 1.(Rank 2) While wearing heavy armor and when you take damage, you can use a Quick Action to double the AV bonus of your worn armor against that attack once per scene.(Rank 3) You can use your Heavy Armor Mastery ability without spending a Quick Action but still only once per scene."
Juggernaut,Fortitude,"(Rank 1) While in melee range with multiple enemies, you gain +1 AV for every two of them (ability bonus). You can gain up to 1 + Fortitude as AV from this ability.(Rank 2) When you use the Cleave Combat Art, you can target any number of enemies in your weapon's reach. Also, you don't subtract your weapon damage from your total damage by the effect of Cleave. (Rank 3) Any of your melee attacks against a single enemy also inflicts damage against a second enemy in your weapon's reach, provided your attack roll would also hit them. Subtract your weapon damage once from the total damage against that second enemy. Any other effects of your attack also affect the second enemy."
Second Wind,Fortitude,"(Rank 1) Gain +2 HP. You can use your Quick Action on your turn to regain 1/2 Strength + Fortitude as HP once per scene.(Rank 2) Gain +2 HP. When you use your Second Wind ability, you regain Strength + 2 x Fortitude as HP instead.(Rank 3) Gain +2 HP. You can use your Second Wind ability twice per scene, but still only once per turn."
Strong Mind,Fortitude,"(Rank 1) When you have to roll Spirit + Fortitude to concentrate on a spell or withstand an effect that attempts to frighten you, break your morale, charm you, or otherwise influence your mind, you can re-roll the test once per scene.(Rank 2) While you are under the influence of an effect that frightens you, charms you, or otherwise influences your mind, you can choose to immediately end the effect once per scene.(Rank 3) You gain resistance against psychic damage."
Tough Stomach,Fortitude,"(Rank 1) Gain +2 HP. When you have to roll Fortitude to withstand poison, intoxication, or illnesses, you can re-roll the test once per scene.(Rank 2) Gain +2 HP. When you are suffering the poisoned, frightened, or dazed condition, you can use a Quick Action to end it immediately once per scene.(Rank 3) Gain +2 HP. You can use your Tough Stomach ability to immediately end a condition affecting you once between your turns instead."
Born Haggler,Influence,"(Rank 1) When selling an item, you receive 60% of it’s cost instead of 50%.(Rank 2) When searching for rare items during downtime, you can re-roll the test once per activity.(Rank 3) When selling an item, you receive 75% of it’s cost instead of 50%."
Fast Talking,Influence,"(Rank 1) When you fail an Influence roll in any social situation, you can choose to re-roll the test once per scene.(Rank 2) You can also use your Fast Talking ability to assist an ally in conversation. When doing so, they can add your Influence instead of their own to a roll.(Rank 3) Immediately before combat begins and if you and your enemies see, hear, and understand each other, you can attempt to verbally confuse them.Roll Mind + Influence vs. Resist against all enemies hearing and understanding you. On a success, their Initiative is reduced by one category and they are briefly dazed."
Inspire Ally,Influence,"(Rank 1) You can use your Quick Action to inspire an ally that can see and hear you within medium range. When you do so, they gain +1 boon on one test they are about to roll. If it is a successful attack roll, they also add your Influence to the damage.(Rank 2) You can choose to use Inspire Ally without using your Quick Action once per scene. You can still use the ability only once per roll.(Rank 3) You gain the following abilities:- You can also use Inspire Ally on yourself.- Whenever you use Inspire Ally, the target also regains your Influence as HP."
Insult to Injury,Influence,"(Rank 1) After you hit an enemy with an attack, you can use a Quick Action to use Distract with +1 boon against them.(Rank 2) While an enemy is distracted by you, you or your allies add your Influence to the damage against them. When anyone but you deals damage to them, the distract condition still ends early.(Rank 3) When an enemy that is distracted by you would lose the condition because they took damage from another creature than you, you can use a Quick Action to immediately use Distract against them again to attempt to continue the distraction."
Leading Presence,Influence,"(Rank 1) While you can see and hear each other, allies in short distance of you gain the following effects:- You gain +1 boon on your Initiative roll.- You gain +1 boon on Spirit rolls against being frightened or losing morale.(Rank 2) While you can see and hear each other, allies in short distance of you gain the following effects:- You gain +1 Resist (ability bonus).- You deal +2 damage with any attack.(Rank 3) You also gain the effects of your Leading Presence ability and it extends to all allies in long distance of you."
Empath,Insight,"(Rank 1) When you roll Insight about the emotional state, personality, or life circumstances of another intelligent creature, you can re-roll the test once per scene.(Rank 2) You can use your Quick Action during your turn to roll Spirit + Insight vs. Resist against a creature you can see.On a success, you use your insights into the creature’s emotional state, personality, or life circumstances to predict their behaviour. You briefly gain +1 boon on any rolls targeting them and they suffer +1 bane on any roll targeting you. On a success, you can also roll for this ability again on your following turns without using your Quick Action. On a failure, the target is immune against this ability for the rest of the scene.(Rank 3) When you roll Insight about the emotional state, personality, or life circumstances of another intelligent creature, you gain +1 boon on the roll."
