Name,Tradition,Rank,Focus,Target,Range,Properties,Effect,Heightened
Necrotic Weapon,Death,1,2,Medium (8),Touch,"enchant (weapon), singular","Imbue a weapon with the power of death. If the target is dual-wielding, you can instead target both their held weapons.On a success, the weapon deals +2 necrotic damage. On a strong or critical hit, the attack’s target also suffers 2 lasting necrotic damage for a short duration. Each creature can suffer the condition from this spell only once per scene. If you target your own weapon, you can make a weapon attack with it as part of casting this spell.This spell lasts for a medium duration.","(Rank 2) The weapon deals +4 necrotic damage instead. On a strong or critical hit, inflict 4 lasting necrotic damage instead.(Rank 3) The weapon deals +6 necrotic damage instead. On a strong or critical hit, inflict 6 lasting necrotic damage instead."
Rotting Grasp,Death,1,2,vs. Parry,Melee,,"Your touch carries the power of decay, causing flesh to wither and rot where you grasp your target.Weak. Deal +4 necrotic damage and the target is briefly poisoned.Strong. Deal +8 necrotic damage and the target is briefly poisoned and staggered.Critical. Deal +12 necrotic damage and the target is poisoned for a short duration. While poisoned by this effect, they are also staggered. They can roll Strength + Fortitude vs. your Resist at the end of their turns to end the effect early.",(Rank 2) Deal +6/+12/+18 necrotic damage instead.(Rank 3) Deal +8/+16/+24 necrotic damage instead.
Circle of Death,Death,2,4,Hard (10),Medium,concentrate,"You draw a mystical circle filled with symbols of mortality, creating a zone where death is inevitable. On a success, you create the circle in close range of the target location. While the circle remains, any creature that starts their turn within it takes +4 necrotic damage (ignoring AV) and can’t regain HP. Any undead creature takes +4 radiant damage (ignoring AV) instead, as their souls long to return to the grave.The circle lasts for a short duration.",(Rank 3) Each creature takes +6 necrotic or radiant damage (ignoring AV) instead.
Cloud of Sickness,Death,2,4,vs. Resist,Medium,,"You summon a cloud of necrotic energy, sickening creatures within it. The cloud extends in a close area around the target location and targets all living creatures within it.Weak. Deal +3 necrotic damage to each target.Strong. Deal +6 necrotic damage to each target.Critical. Deal +9 necrotic damage to each target.Any creature is also poisoned while inside the cloud’s area.The cloud lasts for a short duration. It can also be expelled early by any effect causing strong winds in the same area of influence.",(Rank 2) Deal +5/+10/+15 necrotic damage to each target instead.(Rank 3) Deal +7/+14/+21 necrotic damage to each target instead.
Beast Form,Nature,1,2,Medium (8),Self,enchant (body),"You shape shift into the form of a land-based animal. You can change into any animal form you encountered before. For this, reference the Tier 1 or lower Companion Statistics and pick any valid Animal Trait from the Animal Companions section.Apply the given statistics in the following way:- Pick any Size valid for the beast form’s Tier.- You gain half of the HP your beast form would have as an Animal Companion as temporary HP (you keep your own current and max. HP).- Apply the beast form’s AV bonus as an armor bonus.- Replace your Strength and Agility with that of your beast form if they are higher. Your Spirit and Mind aren’t changed.- You keep your own skill ranks and don’t use those of the beast form.- Apply the beast form’s weapon damage to any attacks made with natural weapons. If you have any bonuses to the damage of these attacks, you can apply them normally.- You gain the amount of base Movement per turn of your beast form, unless your normal Movement is higher.- You can use any abilities your beast form’s animal traits provide.You can’t cast spells while in beast form, except for re-casting this spell to extend it‘s duration without interruption. You can still speak and understand any languages you would normally while in your beast form. Your beast form lasts for a medium duration, until you end it willingly, or until you fall unconscious.",(Rank 2) You can choose from the Companion Statistics up to Tier 2.(Rank 3) You can choose from the Companion Statistics up to Tier 3.
Blessing of Nature,Nature,1,2,Medium (8),Touch,singular,"You bless a creature with the magical power of nature, whereby plants and animals act benevolently towards them.On a success, the creature gains the following effects:- You can move through difficult terrain without penalty.- You gain +1 boon on Athletics and Survival rolls.This spell lasts for a long duration.","(Rank 2) The target gains resistance to acid and poison damage for the spell‘s duration.(Rank 3) The target gains resistance to acid, frost, lightning, and poison damage for the spell‘s duration."
Mesh of Vines,Nature,1,2,Medium (8),Medium,singular,"Instantly sprout a mesh of spiked vines, covering the target location. On a success, spiked vines fill an area close to the target location. Target each creature in the area and use your roll’s result vs. their Dodge.Weak. Deal +0 damage against each target.Strong. Deal +2 damage against each target and they are grappled by the vines.Critical. Deal +2 damage against each target and they are grappled and restrained by the vines.The area is also considered difficult terrain. The vines last for a short duration.",(Rank 2) The vines deal +2/+4/+6 damage against each target instead.(Rank 3) The vines deal +4/+8/+12 damage against each target instead.
Rock Throw,Nature,1,2,vs. Dodge,Medium,,"Magically animate a large stone and throw it against your target in range.Weak. Deal +4 crush damage.Strong. Deal +8 crush damage and the target is pushed close.Critical. Deal +12 crush damage, the target is pushed close and falls prone.",(Rank 2) Deal +6/+12/+18 crush damage instead.(Rank 3) Deal +8/+16/+21 crush damage instead.
Venomous Weapon,Nature,1,2,Medium (8),Touch,"enchant (weapon), singular","Imbue a weapon with the power of a serpent‘s fangs. If the target is dual-wielding, you can instead target both their held weapons.On a success, the weapon deals +2 poison damage. On a strong or critical hit, the attack‘s target is briefly poisoned. Each creature can suffer the condition from this spell only once per scene. If you target your own weapon, you can make a weapon attack with it as part of casting this spell.This spell lasts for a medium duration.",(Rank 2) The weapon deals +4 poison damage instead.(Rank 3) The weapon deals +6 poison damage instead.
Wild Companion,Nature,1,2,Medium (8),Touch,ritual (hours),"You can’t cast this spell if you haven’t learned the “Animal Companion” talent.You set up a ritual to summon a spiritual beast of the land. As part of casting this spell, you must also spend 100 coins in incense and other sacred ingredients (they are spend even on a failure). Follow the normal rules, described in the “Animal Companion” talent for choosing a form for your animal companion (you can still only control as many animal companions, as you are allowed by the talent).On a success, you summon a spiritual being in your chosen animal form. Apply the following traits to it:- It’s creature type becomes “spirit (primal)”- +1d Spirit, +1d Mind- +1 ResistYou also have a psychic connection to your companion, as long as the two of you are on the same sphere of existence. This connection manifests itself as an intuitive sharing of emotions. You can use this connection to tell your companion what to do and where to go nonverbally. You can also spend your turn meditating to fully experience all senses of your companion. While meditating this way, you are considered unconscious and are unaware of your own body‘s surroundings.Any creature capable of sensing magical auras will notice the primal nature of your companion. The companion remains until killed, but can be re-summoned with another ritual. You can choose the same or a new form for your companion each time you cast this spell.","(Rank 2) As part of casting this spell, you must spend 200 coins instead. Also apply the following traits to your companion:- It can cast any rank 0 or 1 spells you know. It casts them with it’s Spirit + your Nature. Instead of spending Focus, it can only cast a number of rank 1 spells per day equal to your Nature.(Rank 3) As part of casting this spell, you must spend 500 coins instead. Also apply the following traits to your companion:- It can cast any rank 0, 1, or 2 spells you know (rank 1 spells are heightened to rank 2). It casts them with it’s Spirit + your Nature. Instead of spending Focus, it can only cast a combined number of rank 1 or 2 spells per day equal to your Nature."
Heat Metal,Nature,2,4,vs. Resist,Short,concentrate,"You let a metallic object rapidly increase in temperature, harming anyone touching it.You must be not wearing any armor or weapon primarily made from a metal to cast this spell. Choose any metallic object or creature of up to medium Size.On a success, the target becomes burning hot. Any creature holding or wearing the object suffers +2 fire damage (ignoring AV) at the start of each turn they continue to do so.If the target is a weapon, it imposes +1 bane on attacks with it.If the target is a piece of armor or a helmet, it‘s AV bonus is halved.This spell lasts for a short duration.",(Rank 2) Choose one:- You can also target objects with up to large Size.- The object inflicts +4 fire damage (ignoring AV) each turn instead.(Rank 3) Choose one:- You can also target objects with up to huge Size.- The object inflicts +6 fire damage (ignoring AV) each turn instead.
Law of the Strongest,Nature,2,4,Hard (10),Medium,"enchant (body), singular","You fill a creature‘s body with empowering nature magic. The target has to be a creature of medium or smaller Size.On a success, the target‘s body grows one Size larger along with all of their worn equipment and held items (as long as they stay in contact with their body). While enlarged by this spell, they gain the following effects:- Gain 5 temporary HP.- Gain +1 boon on Strength rolls.- You gain +1 Parry and lose -1 Dodge.- You gain +1 AV.- You deal +2 damage with attacks based on Strength.This spell lasts for a short duration or until the target falls unconscious.",(Rank 3) The target gains the following effects instead:- Gain 10 temporary HP.- Gain +1 boon on Strength rolls.- You gain +2 Parry and lose -2 Dodge.- You gain +2 AV.- You deal +4 damage with attacks based on Strength.
Living Plants,Nature,2,4,Hard (10),Medium,concentrate,"You manipulate nearby plants to grow rapidly and attack your enemies or form structures. Choose any location in range. On a success, plants grow and animate under your control, filling an area close to the target location.You can command the plants to perform one of the following abilities during each of your turns:Attack. Target any number of creatures in the area and use your roll's result vs. their Dodge. Deal +2/+4/+6 damage against each target.Restrain. Target any number of creatures in the area and use your roll's result vs. their Dodge. On a success, each target is grappled. On a strong or critical success, each target is grappled and restrained.If you choose any other ability during one of your turns, this ability ends.Shape. Form the plants into a simple structure (such as a shelter, bridge, or barrier). The structure is solid and provides cover. If you end the spell while the plants are shaped, the shape remains stable for a long duration, after which the plants wither and decay.The plants last for a medium duration or until you dismiss them.",(Rank 3) Choose one:- The plants fill in short range of the target location.- The plants deal +4/+8/+12 damage with attacks instead.
Melt Ground,Nature,2,4,Hard (10),Medium,concentrate,"You cause the ground in the target area to become soft and muddy, creating a natural trap. On a success, the ground in an area close to the target location becomes muddy and creatures sink slightly into it.The muddy area is difficult terrain. Also, when any creature attempts to move though the muddy area for the first time during their turn, they have to first succeed on a Strength + Athletics test vs. this spell’s target Difficulty. If they fail, their Movement becomes 0 for the rest of the turn.This spell lasts for a medium duration.",(Rank 3) The affected area extends to medium range from the target location instead.
Rock Skin,Nature,2,4,Hard (10),Medium,"enchant (body), singular","You create a protective shell of hardened rock plates around a creature within range. On a success, the creature gains the following effects:- The rock plates absorbs any non-psychic damage inflicted on you. When the rock plates have absorbed a total of 20 HP, they break and the spell ends.- Your unarmed attacks deal +2 damage.- You gain +1 Parry and lose -1 Dodge.- You can’t use more than 1 Movement per turn.","(Rank 3) The target gains the following effects instead:- The rock plates absorbs any non-psychic damage inflicted on you. When the rock plates have absorbed a total of 30 HP, they break and the spell ends.- Your unarmed attacks deal +4 damage.- You gain +1 Parry and lose -1 Dodge.- You can’t use more than 1 Movement per turn."
Sudden Growth,Nature,2,4,Hard (10),Medium,,"You dramatically accelerate the growth of plant life in the target area.On a success, choose one of the following effects:Barrier. Create a wall of tough plants which covers a close distance in width and height. The barrier has 20 HP, 2 AV (light), 8 Defense, and provides cover. Climbing the barrier requires a Strength + Athletics roll.Platform. Create a stable platform of intertwined branches covering up to a close area that can support creature with medium Size or smaller. The platform can grow up to a short distance above ground level. Any creatures standing on the space where the branches grow into the air are safely lifted up with it. For damaging the platform, use the same statistics as for the Barrier option.Harvest. Magically fertilize soil within medium range of the target area. Any fruit, vegetable, or other crop on that soil will be immune against disease and grow twice as fast.When you choose Barrier or Platform, the plants remain for a short duration. If you choose Harvest, the effect remains until the plants are fully grown.",(Rank 3) Apply these effects for each option:Barrier. The wall can cover up to a short distance in width and height instead. It also has 30 HP and 4 AV instead.Platform. The platform can grow up to a medium distance above ground level instead.Harvest. Fertilize soil within long range of the target area instead.
Thorn Barrage,Nature,2,4,vs. Dodge,Medium,blast (line),You launch a volley of magically-created thorns that tear through multiple targets in a line.Target all creatures in a straight line from you up to a target point within range.Weak. Deal +4 damage to each target.Strong. Deal +8 damage to each target and they are bleeding (2).Critical. Deal +12 damage to each target and they are bleeding (4).,(Rank 3) Choose one:- Deal +6/+12/+18 damage to each target and inflict bleeding (-/4/6) instead.- Increase the spell‘s range to long.
Toxic Mist,Nature,2,4,vs. Dodge,Short,blast (cone),You create a cone of toxic fog that spreads from your position. Target all creatures within the spell’s area.Weak. Deal +4 poison damage (ignoring 1/2 AV) to each target.Strong. Deal +8 poison damage (ignoring 1/2 AV) to each target and they are poisoned for a short duration.Critical. Deal +12 poison damage (ignoring 1/2 AV) to each target and they are poisoned for a short duration.,(Rank 3) Choose one:- Deal +6/+12/+18 poison damage (ignoring 1/2 AV) to each target instead.- Increase the spell’s range to medium.
Water Prison,Nature,2,4,vs. Dodge,Short,concentrate,"You conjure a sphere of water that engulfs and traps a target of up to medium Size, causing them to begin drowning.On a success, the target is grappled and restrained by the sphere of water and suffocating until they escape.This spell lasts for a short duration.",(Rank 3) You can target a creature of up to large Size instead.
Stone Pillar,Nature,3,6,Very Hard (12),Short,singular,"Summon a solid pillar of stone either to block an area or push creatures in an area higher up. Can be used as utility for you and your allies, or to disrupt enemy positioning. Can also lead to crushing creatures above the pillar into the ceiling.",Summon multiple pillars
Bursting Crackle,Tempest,1,2,vs. Resist,Medium,,"You gather an electric charge at a single point within range and release it with a powerful blast, creating loud thunder. Target all creatures in melee range of the target location.Weak. Deal +2 blast damage (ignoring 1/2 AV) against each target.Strong. Deal +4 blast damage (ignoring 1/2 AV) against each target and they are briefly dazed and deafened.Critical. Deal +6 blast damage (ignoring 1/2 AV) against each target and they are briefly dazed and deafened.",(Rank 2) Choose one:- Deal +4/+8/+12 blast damage to each target instead.- Target all creatures in close range of the target location instead.(Rank 3) Choose one:- Deal +6/+12/+18 blast damage to each target instead.- Target all creatures in short range of the target location instead.
Curse of Tempest,Tempest,1,2,vs. Resist,Short,singular,"You curse a creature with the magical power of tempest, turning nature itself against them.On a success, the creature suffers the following effects:- While moving in natural environments, it is always considered difficult terrain for them.- They suffer +1 bane on Athletics and Survival rolls.This curse lasts for a long duration.","(Rank 2) The target suffers a weakness to blast, fire, or lightning damage (choose one) for the spell‘s duration.(Rank 3) The target suffers a weakness to blast, fire, and lightning damage for the spell‘s duration."
Earthen Tremor,Tempest,1,2,vs. Dodge,Short,blast (cone),"You send shockwaves through the earth, causing the ground to tremble violently. Target all creatures in the spell’s area.Weak. Deal +2 damage to each target.Strong. Deal +4 damage to each target and they are briefly staggered.Critical. Deal +6 damage to each target and they are briefly staggered.",(Rank 2) Choose one:- Deal +4/+8/+12 damage to each target instead.- Increase the spell‘s range to medium.(Rank 3) Choose one:- Deal +6/+12/+18 damage to each target instead.- Increase the spell‘s range to long.
Electrified Weapon,Tempest,1,2,Medium (8),Touch,"enchant (weapon), singular","Imbue a weapon with the power of storms. If the target is dual-wielding, you can instead target both their held weapons.On a success, the weapon deals +2 lightning damage. On a strong or critical hit, the attack‘s target is briefly staggered. Each creature can suffer the condition from this spell only once per scene. If you target your own weapon, you can make a weapon attack with it as part of casting this spell.This spell lasts for a medium duration.",(Rank 2) The weapon deals +4 lightning damage instead.(Rank 3) The weapon deals +6 lightning damage instead.
Lightning Javelin,Tempest,1,2,vs. Dodge,Medium,,You conjure pure lightning in the form of a spear and hurl it against a creature.Weak. Deal +4 lightning damage. Strong. Deal +8 lightning damage and the target is briefly staggered.Critical. Deal +12 lightning damage and the target is briefly staggered.,(Rank 2) Deal +6/+12/+18 lightning damage instead.(Rank 3) Deal +8/+16/+24 lightning damage instead.
Storm Coat,Tempest,1,2,Medium (8),Short,"enchant (body), singular","You weave a protective coat of elemental energies around a creature.On a success, the creature gains the following effects:- You gain resistance against blast, frost, and lightning damage.- Whenever you are hit by a melee attack, the attacker takes +0 lightning damage (ignoring AV).",(Rank 2) The attacker takes +2 lightning damage (ignoring AV) instead.(Rank 3) The attacker takes +4 lightning damage (ignoring AV) instead.
Storm Shield,Tempest,1,2,Medium (8),Self,quick,"You quickly conjure a personal barrier of swirling air. Cast this spell when you are attacked vs. your Parry or Dodge.On a success, you can defend with your Resist instead of Parry or Dodge until your next turn. When a melee attack against you fails, the attacker takes +0 blast damage (ignoring AV). If a ranged attack against you fails, you can divert the attack towards another creature in close range. If the ranged attack blunders, you can even divert it back to the attacker. When diverting an attack to another creature, it automatically hits with a weak success.",(Rank 2) Failed melee attacks inflict +2 blast damage (ignoring AV) instead. Diverted ranged attacks deal +2 damage.(Rank 3) Failed melee attacks inflict +4 blast damage (ignoring AV) instead. Diverted ranged attacks deal +4 damage.
Volcanic Bolt,Tempest,1,2,vs. Dodge,Medium,,You magically dissolve some earth or rock in your surroundings into lava. You can hurl the lava as a searing projectile against a creature.Weak. Deal +4 fire damage. Strong. Deal +8 fire damage and they suffer burning (2) for a short duration.Critical. Deal +12 fire damage and they suffer burning (4) for a short duration.,(Rank 2) Deal +6/+12/+18 fire damage instead and inflict burning (4/6) on a strong or critical success.(Rank 3) Deal +8/+16/+24 fire damage instead and inflict burning (6/8) on a strong or critical success.
Wind Hose,Tempest,1,2,vs. Dodge,Medium,,"You create a powerful swirl of air around the target location, pulling smaller, loose objects into it’s vortex.Weak. Deal +3 damage.Strong. Deal +6 damage and if the target is medium or smaller in size, they are also grappled by the wind hose.Critical. Deal +9 damage and if the target is medium or smaller in size, they are also grappled and restrained by the wind hose.When you successfully cast this spell against a target and it is grappled by the wind hose, you gain +1 boon when casting the spell again against the same target on your next turn.",(Rank 2) Choose one:- Deal +5/+10/+15 damage instead.- You can also target large creatures for grappling.(Rank 3) Choose one:- Deal +7/+14/+21 damage instead.- You can also target huge creatures for grappling.
Conjure Elemental,Tempest,2,4,Hard (10),Long,concentrate,"You conjure a being of pure elemental power. Choose either air, earth, fire, or water.On a success, an elemental creature of the chosen element appears at any point within range.Treat the elemental as your companion (see Mounts &amp; Companions for more). It is friendly towards you and your allies while you maintain concentration for this spell.The elemental has the statistics of a tier 2 companion. In addition, it gains a companion trait, according to which element you have chosen.You can dismiss the elemental as a Quick Action during your turn. Otherwise it remains until reduced to 0 HP or for a short duration.If you lose concentration on this spell, the elemental becomes hostile to you and your allies. Roll initiative for it and treat it as an enemy. You can’t dismiss the elemental anymore and it remains until reduced to 0 HP or after the spell’s duration.",(Rank 3) You conjure an elemental with the statistics of a tier 3 companion instead.
Lightning Bolt,Tempest,2,4,vs. Dodge,Medium,blast (line),"You summon a powerful bolt of lightning that streaks forth in a straight line from you to a target point, electrifying every creature it passes.Weak. Deal +4 lightning damage to each target.Strong. Deal +8 lightning damage to each target and they are briefly staggered.Critical. Deal +12 lightning damage to each target and they are briefly staggered.",(Rank 3) Choose one:- Deal +6/+12/+18 lightning damage to each target instead.- Increase the spell‘s range to long.
Lightning Step,Tempest,2,4,Hard (10),Medium,quick,"In a sudden flash of lightning you move at the speed of sound to another place. Cast this spell on your turn.Choose any point within range you can see, where you would be able to move to by walking, climbing, swimming, or jumping.On a success, you instantly move to the chosen location (this isn’t teleportation) without provoking Opportunity Attacks. When you arrive, you produce a loud booming sound, dealing +2 blast damage to all creatures in close range of you. Your Movement for the rest of the turn becomes 0.",(Rank 3) Increase the spell’s range to long and deal +4 blast damage instead.
Magma Burst,Tempest,2,4,vs. Dodge,Medium,,"You channel the earth’s wrath, making the target location’s ground burst with lava. Target all creatures in melee range of it.Weak. Deal +4 fire damage to each target. Strong. Deal +8 fire damage to each target and they suffer burning (2) for a short duration.Critical. Deal +12 fire damage to each target and they suffer burning (4) for a short duration.The target location remains covered with cracks filled with lava for a short duration, after which it cools down and remains as solid rock.Each creature ending their turn in melee range of it automatically suffer the effects of a weak hit.If any creature has direct contact with the lava, they instead automatically suffer the effects of a critical hit.",(Rank 3) Choose one:- Deal +6/+12/+18 fire damage to each target and inflict burning (4/6) on a strong or critical success instead.- Target all creatures in close range of the target location instead.
Pyroclasm,Tempest,2,4,vs. Dodge,Short,blast (cone),"You slam the earth before you and it erupts with force, spitting flaming hot lava into the air.Weak. Deal +4 fire damage to each target. Strong. Deal +8 fire damage to each target and they fall prone.Critical. Deal +12 fire damage to each target, they fall prone, and their Movement briefly becomes 0.The area affected by this spell remains as broken ground and is considered difficult terrain.",(Rank 3) Choose one:- Deal +6/+12/+18 fire damage to each target instead.- Increase the spell‘s range to medium.
Storm Cloud,Tempest,2,4,Hard (10),Medium,concentrate,"You summon a dark cloud brewing with electricity. On a success, the cloud extends in close range of the target location and hovers up to a medium distance above it. Target up to three creatures below the cloud use your roll’s result vs. their Dodge.Weak. Deal +4 lightning damage against each target.Strong. Deal +8 lightning damage against each target.Critical. Deal +12 lightning damage against each target.On each of your following turns, you can target another one creature with this spell and repeat the roll vs. Dodge. Before or after the roll, you can choose to move the cloud a short distance within range.The cloud lasts for a short duration.",(Rank 3) Choose one:- Deal +6/+12/+18 blast damage to each target instead.- Target up to five creatures below the cloud instead.
